ticker,sharpe,annual_return,annual_vol,max_drawdown
NVDA,1.0447166200863909,0.46009722302815714,0.44040385132392196,-0.5159995327635825
MSFT,0.5680404798319216,0.14172144048443264,0.2494917977084429,-0.2942289429988698
AAPL,0.5607297606161428,0.15350747983323315,0.2737637461306773,-0.3687076254126448
GOOGL,0.5332725139224362,0.13226979928627117,0.24803415858314729,-0.3181537016633369
WMT,0.5091157858337635,0.09588463846824563,0.18833562253666575,-0.3178945860292123
AMZN,0.5088903290437228,0.12596265124054798,0.2475241600233388,-0.27946429499627645
XOM,0.33964913034574845,0.07191091373275746,0.2117211772618266,-0.22311207006399314
JPM,0.1228253597892626,0.028252130347768686,0.23001870620401382,-0.43986107569220434
PG,0.11138144072082617,0.020179393747663886,0.18117375405695152,-0.23155578561221224
JNJ,-0.36915347991091524,-0.057573246478694,0.15596018895064373,-0.3534618169437309
